20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Aditya Solanki loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Aman Naudiyal years=None band=7-None title=2D Spine animator in India :: Behance
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Akhil K.J years=None band=7-None title=2D spine animator, motion graphics artist in India
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Chetan Singh on Behance years=None band=7-None title=Chetan Singh on Behance
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q11/26: "Spine Animator" Noida, India portfolio site:artstation.com
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q12/26: "Spine Animator" Noida, India designer site:dribbble.com
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q13/26: "Spine Animator" Noida, India profile site:linkedin.com/in
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 13 hits
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Subham Mukherjee years=None band=7-None title=Animator
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Neha Bisht years=None band=7-None title=2d spine Animator
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Vinu Nair years=None band=7-None title=Gameberry Labs
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Souvik Mitra years=None band=7-None title=Aristocrat Gaming
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Gagan Dahiya years=None band=7-None title=Gamix Labs
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] done hunt=7 status=partial added=3/20 pipeline_now=5/25 scanned=120
20:39:44 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] job=dc5864396c finished in 3s
20:40:18 | WARNING | phonemizer | words count mismatch on 100.0% of the lines (1/1)
20:40:33 | INFO    | talenthunt.copilot.direct_actions | [sourcing] background thread start job=bd76ba71d6 hunt=7
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] start hunt=7 role='Spine Animator' fill_to=25 already=5 need=20 queries=5 max_scan=120 job=bd76ba71d6
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" Spine 7+ years Noida, India site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" Noida, India resume site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for 'Spine Animator 7+ years Noida, India profile site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" "Spine" 7+ years Noida, India site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" "2D Animation" 7+ years Noida, India site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q1/5: "Spine Animator" Spine 7+ years Noida, India site:naukri.com
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 14 hits
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q2/5: "Spine Animator" Noida, India resume site:naukri.com
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q3/5: Spine Animator 7+ years Noida, India profile site:naukri.com
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 13 hits
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q4/5: "Spine Animator" "Spine" 7+ years Noida, India site:naukri.com
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q5/5: "Spine Animator" "2D Animation" 7+ years Noida, India site:naukri.com
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] round 2/3 — 6 new queries (added 0/20)
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" Spine 7+ years Noida, India site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" Noida, India resume site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for 'Spine Animator 7+ years Noida, India profile site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" "Spine" 7+ years Noida, India site:naukri.com'
20:40:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" "2D Animation" 7+ years Noida, India site:naukri.com'
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r2 q1/6: "Spine Animator" Spine 7+ years Noida, India site:naukri.com
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 14 hits
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r2 q2/6: "Spine Animator" Noida, India resume site:naukri.com
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r2 q3/6: Spine Animator 7+ years Noida, India profile site:naukri.com
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 13 hits
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r2 q4/6: "Spine Animator" "Spine" 7+ years Noida, India site:naukri.com
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r2 q5/6: "Spine Animator" "2D Animation" 7+ years Noida, India site:naukri.com
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r2 q6/6: "Spine Animator" Spine India OR remote Noida, India site:naukri.com
20:40:35 | WARNING | talenthunt.hunts.web_sourcing | [sourcing] query failed: ddgs: No results found.
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] round 3/3 — 7 new queries (added 0/20)
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" Spine 7+ years Noida, India site:naukri.com'
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" Noida, India resume site:naukri.com'
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for 'Spine Animator 7+ years Noida, India profile site:naukri.com'
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" "Spine" 7+ years Noida, India site:naukri.com'
20:40:35 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] search cache hit for '"Spine Animator" "2D Animation" 7+ years Noida, India site:naukri.com'
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r3 q1/7: "Spine Animator" Spine 7+ years Noida, India site:naukri.com
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 14 hits
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r3 q2/7: "Spine Animator" Noida, India resume site:naukri.com
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r3 q3/7: Spine Animator 7+ years Noida, India profile site:naukri.com
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 13 hits
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] done hunt=7 status=partial added=0/20 pipeline_now=5/25 scanned=120
20:40:37 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] job=bd76ba71d6 finished in 4s
